"Name","Child Poverty by Household Type"
"Description","Children in single parent households are defined as the
biological, adopted, or step children of household
heads in family households where no spouse is present.&nbsp;Other households are those for whom the child's relationship to householder is defined as other relative, foster or unrelated child.&nbsp;Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average.&nbsp;"
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2012 - 2019)."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected household type for whom poverty status was determined.&nbsp;"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Married Couples,2014,Number,132.86463,101
Battery Park/Tribeca,Single Mothers,2014,Number,109.44169,101
Battery Park/Tribeca,Single Fathers,2014,Number,21.80757,101
Battery Park/Tribeca,Grandparents,2014,Number,18.17297,101
Battery Park/Tribeca,Other,2014,Number,48.46126,101
Greenwich Village,Married Couples,2014,Number,196.13537,102
Greenwich Village,Single Mothers,2014,Number,161.55831,102
Greenwich Village,Single Fathers,2014,Number,32.19243,102
Greenwich Village,Grandparents,2014,Number,26.82703,102
Greenwich Village,Other,2014,Number,71.53874,102
Lower East Side,Married Couples,2014,Number,1307,103
Lower East Side,Single Mothers,2014,Number,3422,103
Lower East Side,Single Fathers,2014,Number,253,103
Lower East Side,Grandparents,2014,Number,1312,103
Lower East Side,Other,2014,Number,142,103
Chelsea/Clinton,Married Couples,2014,Number,173.27683,104
Chelsea/Clinton,Single Mothers,2014,Number,896.37437,104
Chelsea/Clinton,Single Fathers,2014,Number,0,104
Chelsea/Clinton,Grandparents,2014,Number,31.32312,104
Chelsea/Clinton,Other,2014,Number,201.2677,104
Midtown Business District,Married Couples,2014,Number,86.72317,105
Midtown Business District,Single Mothers,2014,Number,448.62563,105
Midtown Business District,Single Fathers,2014,Number,0,105
Midtown Business District,Grandparents,2014,Number,15.67688,105
Midtown Business District,Other,2014,Number,100.7323,105
Murray Hill/Stuyvesant,Married Couples,2014,Number,97,106
Murray Hill/Stuyvesant,Single Mothers,2014,Number,126,106
Murray Hill/Stuyvesant,Single Fathers,2014,Number,0,106
Murray Hill/Stuyvesant,Grandparents,2014,Number,0,106
Murray Hill/Stuyvesant,Other,2014,Number,0,106
Upper West Side,Married Couples,2014,Number,561,107
Upper West Side,Single Mothers,2014,Number,470,107
Upper West Side,Single Fathers,2014,Number,508,107
Upper West Side,Grandparents,2014,Number,229,107
Upper West Side,Other,2014,Number,89,107
Upper East Side,Married Couples,2014,Number,1800,108
Upper East Side,Single Mothers,2014,Number,969,108
Upper East Side,Single Fathers,2014,Number,0,108
Upper East Side,Grandparents,2014,Number,147,108
Upper East Side,Other,2014,Number,0,108
Manhattanville,Married Couples,2014,Number,1248,109
Manhattanville,Single Mothers,2014,Number,4831,109
Manhattanville,Single Fathers,2014,Number,298,109
Manhattanville,Grandparents,2014,Number,692,109
Manhattanville,Other,2014,Number,217,109
Central Harlem,Married Couples,2014,Number,1389,110
Central Harlem,Single Mothers,2014,Number,6282,110
Central Harlem,Single Fathers,2014,Number,1695,110
Central Harlem,Grandparents,2014,Number,1316,110
Central Harlem,Other,2014,Number,383,110
East Harlem,Married Couples,2014,Number,2317,111
East Harlem,Single Mothers,2014,Number,6304,111
East Harlem,Single Fathers,2014,Number,702,111
East Harlem,Grandparents,2014,Number,1190,111
East Harlem,Other,2014,Number,493,111
Washington Heights,Married Couples,2014,Number,2777,112
Washington Heights,Single Mothers,2014,Number,5811,112
Washington Heights,Single Fathers,2014,Number,823,112
Washington Heights,Grandparents,2014,Number,2416,112
Washington Heights,Other,2014,Number,1413,112
Mott Haven,Married Couples,2014,Number,3414.35693,201
Mott Haven,Single Mothers,2014,Number,9297.82097,201
Mott Haven,Single Fathers,2014,Number,1089.10602,201
Mott Haven,Grandparents,2014,Number,1399.09704,201
Mott Haven,Other,2014,Number,587.51891,201
Hunts Point,Married Couples,2014,Number,1949.64307,202
Hunts Point,Single Mothers,2014,Number,5309.17903,202
Hunts Point,Single Fathers,2014,Number,621.89398,202
Hunts Point,Grandparents,2014,Number,798.90296,202
Hunts Point,Other,2014,Number,335.48109,202
Morrisania,Married Couples,2014,Number,1735.8497,203
Morrisania,Single Mothers,2014,Number,8485.01727,203
Morrisania,Single Fathers,2014,Number,624.7689,203
Morrisania,Grandparents,2014,Number,1110.1023,203
Morrisania,Other,2014,Number,325.83875,203
Concourse/Highbridge,Married Couples,2014,Number,4463,204
Concourse/Highbridge,Single Mothers,2014,Number,11034,204
Concourse/Highbridge,Single Fathers,2014,Number,624,204
Concourse/Highbridge,Grandparents,2014,Number,1066,204
Concourse/Highbridge,Other,2014,Number,1161,204
University Heights,Married Couples,2014,Number,3094,205
University Heights,Single Mothers,2014,Number,13246,205
University Heights,Single Fathers,2014,Number,1281,205
University Heights,Grandparents,2014,Number,2139,205
University Heights,Other,2014,Number,581,205
East Tremont,Married Couples,2014,Number,1812.1503,206
