"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Lower East Side,Below 100% FPL,2018,Number,7541,103
Murray Hill/Stuyvesant,Below 100% FPL,2018,Number,535,106
Upper West Side,Below 100% FPL,2018,Number,2145,107
Upper East Side,Below 100% FPL,2018,Number,1290,108
Manhattanville,Below 100% FPL,2018,Number,5849,109
Central Harlem,Below 100% FPL,2018,Number,11404,110
East Harlem,Below 100% FPL,2018,Number,11618,111
Washington Heights,Below 100% FPL,2018,Number,11173,112
Concourse/Highbridge,Below 100% FPL,2018,Number,18368,204
University Heights,Below 100% FPL,2018,Number,19833,205
Bedford Park,Below 100% FPL,2018,Number,16461,207
Riverdale,Below 100% FPL,2018,Number,7041,208
Unionport/Soundview,Below 100% FPL,2018,Number,15999,209
Throgs Neck,Below 100% FPL,2018,Number,4062,210
Pelham Parkway,Below 100% FPL,2018,Number,6065,211
Williamsbridge,Below 100% FPL,2018,Number,8557,212
Williamsburg/Greenpoint,Below 100% FPL,2018,Number,11824,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2018,Number,4654,302
Bedford Stuyvesant,Below 100% FPL,2018,Number,13564,303
Bushwick,Below 100% FPL,2018,Number,11297,304
East New York,Below 100% FPL,2018,Number,13365,305
Park Slope,Below 100% FPL,2018,Number,2418,306
Sunset Park,Below 100% FPL,2018,Number,10081,307
Crown Heights North,Below 100% FPL,2018,Number,7258,308
Crown Heights South,Below 100% FPL,2018,Number,5800,309
Bay Ridge,Below 100% FPL,2018,Number,4852,310
Bensonhurst,Below 100% FPL,2018,Number,9098,311
Borough Park,Below 100% FPL,2018,Number,21349,312
Coney Island,Below 100% FPL,2018,Number,7763,313
Flatbush/Midwood,Below 100% FPL,2018,Number,7488,314
Sheepshead Bay,Below 100% FPL,2018,Number,6471,315
Brownsville,Below 100% FPL,2018,Number,8595,316
East Flatbush,Below 100% FPL,2018,Number,5065,317
Canarsie,Below 100% FPL,2018,Number,5893,318
Astoria,Below 100% FPL,2018,Number,4258,401
Sunnyside/Woodside,Below 100% FPL,2018,Number,2180,402
Jackson Heights,Below 100% FPL,2018,Number,8283,403
Elmhurst/Corona,Below 100% FPL,2018,Number,6758,404
Ridgewood/Glendale,Below 100% FPL,2018,Number,4174,405
Rego Park/Forest Hills,Below 100% FPL,2018,Number,1541,406
Flushing,Below 100% FPL,2018,Number,6730,407
Fresh Meadows/Briarwood,Below 100% FPL,2018,Number,5364,408
Woodhaven,Below 100% FPL,2018,Number,5199,409
Howard Beach,Below 100% FPL,2018,Number,3325,410
Bayside,Below 100% FPL,2018,Number,1835,411
Jamaica/St. Albans,Below 100% FPL,2018,Number,7816,412
Queens Village,Below 100% FPL,2018,Number,4369,413
The Rockaways,Below 100% FPL,2018,Number,8916,414
St. George,Below 100% FPL,2018,Number,10463,501
South Beach,Below 100% FPL,2018,Number,5780,502
Tottenville,Below 100% FPL,2018,Number,2828,503
Battery Park/Tribeca,Below 100% FPL,2018,Number,262.90235,101
Greenwich Village,Below 100% FPL,2018,Number,388.09765,102
Chelsea/Clinton,Below 100% FPL,2018,Number,1004.33917,104
Midtown Business District,Below 100% FPL,2018,Number,502.66083,105
Mott Haven,Below 100% FPL,2018,Number,14209.30084,201
Hunts Point,Below 100% FPL,2018,Number,8113.69916,202
Morrisania,Below 100% FPL,2018,Number,10875.96921,203
East Tremont,Below 100% FPL,2018,Number,11354.03079,206
Lower East Side,100 to 199% FPL,2018,Number,4526,103
Murray Hill/Stuyvesant,100 to 199% FPL,2018,Number,1094,106
Upper West Side,100 to 199% FPL,2018,Number,2799,107
Upper East Side,100 to 199% FPL,2018,Number,1160,108
Manhattanville,100 to 199% FPL,2018,Number,5237,109
Central Harlem,100 to 199% FPL,2018,Number,6426,110
East Harlem,100 to 199% FPL,2018,Number,5121,111
Washington Heights,100 to 199% FPL,2018,Number,10487,112
Concourse/Highbridge,100 to 199% FPL,2018,Number,10287,204
University Heights,100 to 199% FPL,2018,Number,9885,205
Bedford Park,100 to 199% FPL,2018,Number,9689,207
Riverdale,100 to 199% FPL,2018,Number,5717,208
Unionport/Soundview,100 to 199% FPL,2018,Number,12174,209
Throgs Neck,100 to 199% FPL,2018,Number,3291,210
Pelham Parkway,100 to 199% FPL,2018,Number,7244,211
Williamsbridge,100 to 199% FPL,2018,Number,7432,212
Williamsburg/Greenpoint,100 to 199% FPL,2018,Number,9568,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2018,Number,3595,302
Bedford Stuyvesant,100 to 199% FPL,2018,Number,9734,303
Bushwick,100 to 199% FPL,2018,Number,4978,304
East New York,100 to 199% FPL,2018,Number,11031,305
Park Slope,100 to 199% FPL,2018,Number,2462,306
Sunset Park,100 to 199% FPL,2018,Number,11385,307
Crown Heights North,100 to 199% FPL,2018,Number,6310,308
Crown Heights South,100 to 199% FPL,2018,Number,5692,309
Bay Ridge,100 to 199% FPL,2018,Number,4700,310
Bensonhurst,100 to 199% FPL,2018,Number,11213,311
Borough Park,100 to 199% FPL,2018,Number,14388,312
Coney Island,100 to 199% FPL,2018,Number,5410,313
Flatbush/Midwood,100 to 199% FPL,2018,Number,11602,314
Sheepshead Bay,100 to 199% FPL,2018,Number,7769,315
Brownsville,100 to 199% FPL,2018,Number,6217,316
East Flatbush,100 to 199% FPL,2018,Number,8243,317
Canarsie,100 to 199% FPL,2018,Number,9067,318
Astoria,100 to 199% FPL,2018,Number,6155,401
Sunnyside/Woodside,100 to 199% FPL,2018,Number,6738,402
Jackson Heights,100 to 199% FPL,2018,Number,12128,403
Elmhurst/Corona,100 to 199% FPL,2018,Number,13333,404
Ridgewood/Glendale,100 to 199% FPL,2018,Number,8494,405
Rego Park/Forest Hills,100 to 199% FPL,2018,Number,1559,406
Flushing,100 to 199% FPL,2018,Number,13286,407
Fresh Meadows/Briarwood,100 to 199% FPL,2018,Number,8195,408
Woodhaven,100 to 199% FPL,2018,Number,6726,409
Howard Beach,100 to 199% FPL,2018,Number,6972,410
Bayside,100 to 199% FPL,2018,Number,3457,411
Jamaica/St. Albans,100 to 199% FPL,2018,Number,14215,412
Queens Village,100 to 199% FPL,2018,Number,6478,413
The Rockaways,100 to 199% FPL,2018,Number,9524,414
St. George,100 to 199% FPL,2018,Number,6033,501
South Beach,100 to 199% FPL,2018,Number,3007,502
Tottenville,100 to 199% FPL,2018,Number,4449,503
Battery Park/Tribeca,100 to 199% FPL,2018,Number,101.36481,101
Greenwich Village,100 to 199% FPL,2018,Number,149.63519,102
Chelsea/Clinton,100 to 199% FPL,2018,Number,538.49107,104
Midtown Business District,100 to 199% FPL,2018,Number,269.50893,105
Mott Haven,100 to 199% FPL,2018,Number,6374.86664,201
Hunts Point,100 to 199% FPL,2018,Number,3640.13336,202
Morrisania,100 to 199% FPL,2018,Number,6463.44711,203
East Tremont,100 to 199% FPL,2018,Number,6747.55289,206
Lower East Side,Below 200% FPL,2018,Number,12067,103
Murray Hill/Stuyvesant,Below 200% FPL,2018,Number,1629,106
Upper West Side,Below 200% FPL,2018,Number,4944,107
Upper East Side,Below 200% FPL,2018,Number,2450,108
Manhattanville,Below 200% FPL,2018,Number,11086,109
Central Harlem,Below 200% FPL,2018,Number,17830,110
East Harlem,Below 200% FPL,2018,Number,16739,111
Washington Heights,Below 200% FPL,2018,Number,21660,112
Concourse/Highbridge,Below 200% FPL,2018,Number,28655,204
University Heights,Below 200% FPL,2018,Number,29718,205
Bedford Park,Below 200% FPL,2018,Number,26150,207
Riverdale,Below 200% FPL,2018,Number,12758,208
Unionport/Soundview,Below 200% FPL,2018,Number,28173,209
Throgs Neck,Below 200% FPL,2018,Number,7353,210
Pelham Parkway,Below 200% FPL,2018,Number,13309,211
Williamsbridge,Below 200% FPL,2018,Number,15989,212
Williamsburg/Greenpoint,Below 200% FPL,2018,Number,21392,301
Fort Greene/Brooklyn Hts,Below 200% FPL,2018,Number,8249,302
Bedford Stuyvesant,Below 200% FPL,2018,Number,23298,303
Bushwick,Below 200% FPL,2018,Number,16275,304
East New York,Below 200% FPL,2018,Number,24396,305
Park Slope,Below 200% FPL,2018,Number,4880,306
Sunset Park,Below 200% FPL,2018,Number,21466,307
Crown Heights North,Below 200% FPL,2018,Number,13568,308
Crown Heights South,Below 200% FPL,2018,Number,11492,309
Bay Ridge,Below 200% FPL,2018,Number,9552,310
Bensonhurst,Below 200% FPL,2018,Number,20311,311
Borough Park,Below 200% FPL,2018,Number,35737,312
Coney Island,Below 200% FPL,2018,Number,13173,313
Flatbush/Midwood,Below 200% FPL,2018,Number,19090,314
Sheepshead Bay,Below 200% FPL,2018,Number,14240,315
Brownsville,Below 200% FPL,2018,Number,14812,316
East Flatbush,Below 200% FPL,2018,Number,13308,317
Canarsie,Below 200% FPL,2018,Number,14960,318
Astoria,Below 200% FPL,2018,Number,10413,401
Sunnyside/Woodside,Below 200% FPL,2018,Number,8918,402
Jackson Heights,Below 200% FPL,2018,Number,20411,403
Elmhurst/Corona,Below 200% FPL,2018,Number,20091,404
Ridgewood/Glendale,Below 200% FPL,2018,Number,12668,405
Rego Park/Forest Hills,Below 200% FPL,2018,Number,3100,406
Flushing,Below 200% FPL,2018,Number,20016,407
Fresh Meadows/Briarwood,Below 200% FPL,2018,Number,13559,408
Woodhaven,Below 200% FPL,2018,Number,11925,409
Howard Beach,Below 200% FPL,2018,Number,10297,410
Bayside,Below 200% FPL,2018,Number,5292,411
Jamaica/St. Albans,Below 200% FPL,2018,Number,22031,412
Queens Village,Below 200% FPL,2018,Number,10847,413
The Rockaways,Below 200% FPL,2018,Number,18440,414
St. George,Below 200% FPL,2018,Number,16496,501
South Beach,Below 200% FPL,2018,Number,8787,502
Tottenville,Below 200% FPL,2018,Number,7277,503
Battery Park/Tribeca,Below 200% FPL,2018,Number,364.26716,101
Greenwich Village,Below 200% FPL,2018,Number,537.73284,102
Chelsea/Clinton,Below 200% FPL,2018,Number,1542.83024,104
Midtown Business District,Below 200% FPL,2018,Number,772.16976,105
Mott Haven,Below 200% FPL,2018,Number,20584.16748,201
Hunts Point,Below 200% FPL,2018,Number,11753.83252,202
Morrisania,Below 200% FPL,2018,Number,17339.41632,203
East Tremont,Below 200% FPL,2018,Number,18101.58368,206
