"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
"Source Notes","U.S. Census Bureau, American Community Survey 3-Year Estimates, Public Use Microdata Sample File (2007 - 2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected racial/ethnic group for whom poverty status was determined.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Asian,2007,Number,568.20831,101
Battery Park/Tribeca,Black,2007,Number,0,101
Battery Park/Tribeca,Latino,2007,Number,100.55712,101
Battery Park/Tribeca,White,2007,Number,97.32637,101
Greenwich Village,Asian,2007,Number,838.79169,102
Greenwich Village,Black,2007,Number,0,102
Greenwich Village,Latino,2007,Number,148.44288,102
Greenwich Village,White,2007,Number,143.67363,102
Lower East Side,Asian,2007,Number,4496,103
Lower East Side,Black,2007,Number,1962,103
Lower East Side,Latino,2007,Number,3140,103
Lower East Side,White,2007,Number,715,103
Chelsea/Clinton,Asian,2007,Number,305.90025,104
Chelsea/Clinton,Black,2007,Number,255.91655,104
Chelsea/Clinton,Latino,2007,Number,360.5491,104
Chelsea/Clinton,White,2007,Number,177.27553,104
Midtown Business District,Asian,2007,Number,153.09975,105
Midtown Business District,Black,2007,Number,128.08345,105
Midtown Business District,Latino,2007,Number,180.4509,105
Midtown Business District,White,2007,Number,88.72447,105
Murray Hill/Stuyvesant,Asian,2007,Number,224,106
Murray Hill/Stuyvesant,Black,2007,Number,111,106
Murray Hill/Stuyvesant,Latino,2007,Number,498,106
Murray Hill/Stuyvesant,White,2007,Number,496,106
Upper West Side,Asian,2007,Number,257,107
Upper West Side,Black,2007,Number,732,107
Upper West Side,Latino,2007,Number,1048,107
Upper West Side,White,2007,Number,1029,107
Upper East Side,Asian,2007,Number,125,108
Upper East Side,Black,2007,Number,415,108
Upper East Side,Latino,2007,Number,38,108
Upper East Side,White,2007,Number,496,108
Manhattanville,Asian,2007,Number,341,109
Manhattanville,Black,2007,Number,1389,109
Manhattanville,Latino,2007,Number,6090,109
Manhattanville,White,2007,Number,448,109
Central Harlem,Asian,2007,Number,0,110
Central Harlem,Black,2007,Number,9480,110
Central Harlem,Latino,2007,Number,4014,110
Central Harlem,White,2007,Number,0,110
East Harlem,Asian,2007,Number,156,111
East Harlem,Black,2007,Number,3584,111
East Harlem,Latino,2007,Number,8585,111
East Harlem,White,2007,Number,562,111
Washington Heights,Asian,2007,Number,0,112
Washington Heights,Black,2007,Number,1457,112
Washington Heights,Latino,2007,Number,15619,112
Washington Heights,White,2007,Number,631,112
Mott Haven,Asian,2007,Number,199.87101,201
Mott Haven,Black,2007,Number,4358.33369,201
Mott Haven,Latino,2007,Number,10695.64494,201
Mott Haven,White,2007,Number,220.24003,201
Hunts Point,Asian,2007,Number,114.12899,202
Hunts Point,Black,2007,Number,2488.66631,202
Hunts Point,Latino,2007,Number,6107.35506,202
Hunts Point,White,2007,Number,125.75997,202
Morrisania,Asian,2007,Number,126.71507,203
Morrisania,Black,2007,Number,3871.90375,203
Morrisania,Latino,2007,Number,8711.04956,203
Morrisania,White,2007,Number,65.55915,203
Concourse/Highbridge,Asian,2007,Number,739,204
Concourse/Highbridge,Black,2007,Number,5693,204
Concourse/Highbridge,Latino,2007,Number,13688,204
Concourse/Highbridge,White,2007,Number,161,204
University Heights,Asian,2007,Number,300,205
University Heights,Black,2007,Number,8114,205
University Heights,Latino,2007,Number,16419,205
University Heights,White,2007,Number,63,205
East Tremont,Asian,2007,Number,132.28493,206
East Tremont,Black,2007,Number,4042.09625,206
East Tremont,Latino,2007,Number,9093.95044,206
East Tremont,White,2007,Number,68.44085,206
Bedford Park,Asian,2007,Number,888,207
Bedford Park,Black,2007,Number,2136,207
Bedford Park,Latino,2007,Number,11032,207
Bedford Park,White,2007,Number,269,207
Riverdale,Asian,2007,Number,0,208
Riverdale,Black,2007,Number,1008,208
Riverdale,Latino,2007,Number,3812,208
Riverdale,White,2007,Number,302,208
Unionport/Soundview,Asian,2007,Number,703,209
Unionport/Soundview,Black,2007,Number,3500,209
Unionport/Soundview,Latino,2007,Number,10128,209
Unionport/Soundview,White,2007,Number,496,209
Throgs Neck,Asian,2007,Number,0,210
Throgs Neck,Black,2007,Number,452,210
Throgs Neck,Latino,2007,Number,1155,210
Throgs Neck,White,2007,Number,878,210
Pelham Parkway,Asian,2007,Number,720,211
Pelham Parkway,Black,2007,Number,1685,211
Pelham Parkway,Latino,2007,Number,3873,211
Pelham Parkway,White,2007,Number,667,211
Williamsbridge,Asian,2007,Number,0,212
Williamsbridge,Black,2007,Number,3506,212
Williamsbridge,Latino,2007,Number,4063,212
Williamsbridge,White,2007,Number,27,212
Williamsburg/Greenpoint,Asian,2007,Number,448,301
Williamsburg/Greenpoint,Black,2007,Number,514,301
Williamsburg/Greenpoint,Latino,2007,Number,3927,301
Williamsburg/Greenpoint,White,2007,Number,10562,301
Fort Greene/Brooklyn Hts,Asian,2007,Number,282,302
Fort Greene/Brooklyn Hts,Black,2007,Number,2815,302
Fort Greene/Brooklyn Hts,Latino,2007,Number,2262,302
Fort Greene/Brooklyn Hts,White,2007,Number,596,302
Bedford Stuyvesant,Asian,2007,Number,421,303
Bedford Stuyvesant,Black,2007,Number,9633,303
Bedford Stuyvesant,Latino,2007,Number,5181,303
Bedford Stuyvesant,White,2007,Number,3432,303
Bushwick,Asian,2007,Number,297,304
Bushwick,Black,2007,Number,2988,304
Bushwick,Latino,2007,Number,13638,304
Bushwick,White,2007,Number,153,304
East New York,Asian,2007,Number,1012,305
East New York,Black,2007,Number,6017,305
East New York,Latino,2007,Number,8255,305
East New York,White,2007,Number,385,305
Park Slope,Asian,2007,Number,136,306
Park Slope,Black,2007,Number,1080,306
Park Slope,Latino,2007,Number,2423,306
Park Slope,White,2007,Number,336,306
Sunset Park,Asian,2007,Number,4274,307
Sunset Park,Black,2007,Number,110,307
Sunset Park,Latino,2007,Number,6484,307
Sunset Park,White,2007,Number,572,307
