"Name","Child Poverty"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL)."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table S1701 (2005-2019); retrieved&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of children for whom poverty status was determined.&nbsp;"

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2011,Number,344.07497,101
Greenwich Village,2011,Number,507.92503,102
Lower East Side,2011,Number,8732,103
Chelsea/Clinton,2011,Number,1455.52538,104
Midtown Business District,2011,Number,728.47463,105
Murray Hill/Stuyvesant,2011,Number,0,106
Upper West Side,2011,Number,5113,107
Upper East Side,2011,Number,432,108
Manhattanville,2011,Number,8188,109
Central Harlem,2011,Number,8418,110
East Harlem,2011,Number,10602,111
Washington Heights,2011,Number,15275,112
Mott Haven,2011,Number,13265.32409,201
Hunts Point,2011,Number,7574.67592,202
Morrisania,2011,Number,13073.17918,203
Concourse/Highbridge,2011,Number,20448,204
University Heights,2011,Number,19247,205
East Tremont,2011,Number,13647.82082,206
Bedford Park,2011,Number,13208,207
Riverdale,2011,Number,6230,208
Unionport/Soundview,2011,Number,18757,209
Throgs Neck,2011,Number,4470,210
Pelham Parkway,2011,Number,8420,211
Williamsbridge,2011,Number,9061,212
Williamsburg/Greenpoint,2011,Number,17035,301
Fort Greene/Brooklyn Hts,2011,Number,4598,302
Bedford Stuyvesant,2011,Number,16078,303
Bushwick,2011,Number,15546,304
East New York,2011,Number,16212,305
Park Slope,2011,Number,2631,306
Sunset Park,2011,Number,12828,307
Crown Heights North,2011,Number,10236,308
Crown Heights South,2011,Number,6370,309
Bay Ridge,2011,Number,5235,310
Bensonhurst,2011,Number,9508,311
Borough Park,2011,Number,24204,312
Coney Island,2011,Number,4571,313
Flatbush/Midwood,2011,Number,12813,314
Sheepshead Bay,2011,Number,4561,315
Brownsville,2011,Number,19121,316
East Flatbush,2011,Number,7343,317
Canarsie,2011,Number,9984,318
Astoria,2011,Number,8076,401
Sunnyside/Woodside,2011,Number,4536,402
Jackson Heights,2011,Number,10132,403
Elmhurst/Corona,2011,Number,8241,404
Ridgewood/Glendale,2011,Number,8517,405
Rego Park/Forest Hills,2011,Number,613,406
Flushing,2011,Number,6457,407
Fresh Meadows/Briarwood,2011,Number,4628,408
Woodhaven,2011,Number,9354,409
Howard Beach,2011,Number,5280,410
Bayside,2011,Number,3176,411
Jamaica/St. Albans,2011,Number,13728,412
Queens Village,2011,Number,6018,413
The Rockaways,2011,Number,7124,414
St. George,2011,Number,14592,501
South Beach,2011,Number,2093,502
Tottenville,2011,Number,2162,503
Bronx,2011,Number,147402,36005
Brooklyn,2011,Number,198874,36047
Manhattan,2011,Number,59796,36061
Queens,2011,Number,95880,36081
Staten Island,2011,Number,18847,36085
New York City,2011,Number,520799,3651000
Battery Park/Tribeca,2010,Number,475.72807,101
Greenwich Village,2010,Number,702.27193,102
Lower East Side,2010,Number,6929,103
Chelsea/Clinton,2010,Number,1017.0017,104
Midtown Business District,2010,Number,508.9983,105
Murray Hill/Stuyvesant,2010,Number,988,106
Upper West Side,2010,Number,2033,107
Upper East Side,2010,Number,729,108
Manhattanville,2010,Number,8871,109
Central Harlem,2010,Number,9006,110
East Harlem,2010,Number,10239,111
Washington Heights,2010,Number,9540,112
Mott Haven,2010,Number,14714.70714,201
Hunts Point,2010,Number,8402.29286,202
Morrisania,2010,Number,14247.37289,203
Concourse/Highbridge,2010,Number,18943,204
University Heights,2010,Number,21395,205
East Tremont,2010,Number,14873.62711,206
Bedford Park,2010,Number,13861,207
Riverdale,2010,Number,5893,208
Unionport/Soundview,2010,Number,15571,209
Throgs Neck,2010,Number,7549,210
Pelham Parkway,2010,Number,8445,211
Williamsbridge,2010,Number,11725,212
Williamsburg/Greenpoint,2010,Number,13217,301
Fort Greene/Brooklyn Hts,2010,Number,4611,302
Bedford Stuyvesant,2010,Number,16204,303
Bushwick,2010,Number,14084,304
East New York,2010,Number,20739,305
Park Slope,2010,Number,3311,306
Sunset Park,2010,Number,10167,307
Crown Heights North,2010,Number,10590,308
Crown Heights South,2010,Number,9013,309
Bay Ridge,2010,Number,6436,310
Bensonhurst,2010,Number,6290,311
Borough Park,2010,Number,25756,312
Coney Island,2010,Number,8140,313
Flatbush/Midwood,2010,Number,13039,314
Sheepshead Bay,2010,Number,4515,315
Brownsville,2010,Number,17903,316
East Flatbush,2010,Number,6860,317
Canarsie,2010,Number,7661,318
Astoria,2010,Number,8477,401
Sunnyside/Woodside,2010,Number,3775,402
Jackson Heights,2010,Number,12581,403
Elmhurst/Corona,2010,Number,7175,404
Ridgewood/Glendale,2010,Number,11054,405
Rego Park/Forest Hills,2010,Number,2607,406
Flushing,2010,Number,6337,407
Fresh Meadows/Briarwood,2010,Number,5271,408
Woodhaven,2010,Number,5787,409
Howard Beach,2010,Number,4975,410
Bayside,2010,Number,1941,411
Jamaica/St. Albans,2010,Number,14342,412
Queens Village,2010,Number,3679,413
The Rockaways,2010,Number,11290,414
St. George,2010,Number,11112,501
South Beach,2010,Number,3426,502
Tottenville,2010,Number,3931,503
Bronx,2010,Number,155620,36005
Brooklyn,2010,Number,198536,36047
Manhattan,2010,Number,51039,36061
Queens,2010,Number,99291,36081
Staten Island,2010,Number,18469,36085
New York City,2010,Number,522955,3651000
Battery Park/Tribeca,2009,Number,461.99738,101
Greenwich Village,2009,Number,682.00262,102
Lower East Side,2009,Number,8245,103
Chelsea/Clinton,2009,Number,1182.94759,104
Midtown Business District,2009,Number,592.05241,105
Murray Hill/Stuyvesant,2009,Number,564,106
Upper West Side,2009,Number,3537,107
Upper East Side,2009,Number,1399,108
Manhattanville,2009,Number,10226,109
Central Harlem,2009,Number,9389,110
East Harlem,2009,Number,10936,111
Washington Heights,2009,Number,15942,112
Mott Haven,2009,Number,14759.26438,201
Hunts Point,2009,Number,8427.73563,202
Morrisania,2009,Number,10536.92078,203
Concourse/Highbridge,2009,Number,16680,204
University Heights,2009,Number,23107,205
East Tremont,2009,Number,11000.07923,206
Bedford Park,2009,Number,19941,207
Riverdale,2009,Number,4393,208
Unionport/Soundview,2009,Number,19984,209
Throgs Neck,2009,Number,5146,210
Pelham Parkway,2009,Number,7644,211
Williamsbridge,2009,Number,10712,212
Williamsburg/Greenpoint,2009,Number,18085,301
Fort Greene/Brooklyn Hts,2009,Number,5364,302
Bedford Stuyvesant,2009,Number,18989,303
Bushwick,2009,Number,16996,304
East New York,2009,Number,20268,305
Park Slope,2009,Number,1873,306
Sunset Park,2009,Number,13747,307
Crown Heights North,2009,Number,9399,308
Crown Heights South,2009,Number,7413,309
Bay Ridge,2009,Number,5892,310
Bensonhurst,2009,Number,5523,311
Borough Park,2009,Number,21510,312
Coney Island,2009,Number,4594,313
Flatbush/Midwood,2009,Number,15158,314
Sheepshead Bay,2009,Number,3351,315
Brownsville,2009,Number,17137,316
East Flatbush,2009,Number,4456,317
Canarsie,2009,Number,7152,318
Astoria,2009,Number,5364,401
